"user_id","created_at","text","sentiment_afinn_numeric","sentiment_bing_numeric","sentiment_syuzhet_numeric","sentiment_afinn_label","sentiment_bing_label","sentiment_syuzhet_label","matching_sentiment_result","svm_sentiment"
"x1542862735","2022-05-28 17:29:14"," dp66  pokemastermegan  telegraph he has a point, david; as the uk's biggest pokemon master with 124 twitter followers, we must respect his game.",2,2,0.5,"positive","positive","positive",TRUE,"positive"
"x1542862735","2022-05-28 17:23:28"," mcastagnaa  juliahb1 who? is she on gb news?",0,0,0,"neutral","neutral","neutral",TRUE,"neutral"
"x1542862735","2022-05-28 16:45:52","like all blunt hb's, pointless. https:  t.co cn3eeqp9cp https:  t.co rukl2kwvek",0,-1,-0.75,"neutral","negative","negative",FALSE,"positive"
"x1542862735","2022-05-28 16:31:18"," thequiggers and boy is it strange.",-1,-1,-0.25,"negative","negative","negative",TRUE,"positive"
"x1542862735","2022-05-28 16:12:15"," mcdavidge  bingham_fiona  bmay when earning money from selling feet pics on planes dry up, we'll switch on the paywall.",0,0,0.6,"neutral","neutral","positive",FALSE,"neutral"
"x1542862735","2022-05-28 16:04:10"," simonjwils we start at 8:30 am; bring biscuits.",0,0,0,"neutral","neutral","neutral",TRUE,"positive"
"x1542862735","2022-05-28 15:11:48"," simonjwils you're hired.",0,0,0,"neutral","neutral","neutral",TRUE,"positive"
"x1542862735","2022-05-28 15:05:31"," innovate4growth bit like shouting for liverpool tonight.",5,1,1.5,"positive","positive","positive",TRUE,"positive"
"x1542862735","2022-05-28 14:42:13"," bingham_fiona  bmay woke up and saw everyone was piling on it themselves. went back to bed.",0,0,0,"neutral","neutral","neutral",TRUE,"neutral"
"x1542862735","2022-05-28 14:37:59","simon will need some tips to break even. #championsleaguefinal https:  t.co ae6owne9cz",0,-1,-0.25,"neutral","negative","negative",FALSE,"neutral"
"x1542862735","2022-05-27 19:29:40","ryanair mascot: right said ged. #championsleaguefinal https:  t.co 5boduri0go",0,1,0.8,"neutral","positive","positive",FALSE,"neutral"
"x1542862735","2022-05-26 15:12:28","""necessity is the mother of invention"" https:  t.co 62pelspcz3 https:  t.co mbelgkcgva",0,0,0,"neutral","neutral","neutral",TRUE,"neutral"
"x1542862735","2022-05-26 11:50:45"," rosiesof free, no chance",2,1,0.75,"positive","positive","positive",TRUE,"positive"
"x1542862735","2022-05-26 11:37:39","the wolf of downing street #torybritain https:  t.co dpnpjozqhw",0,0,-0.25,"neutral","neutral","negative",FALSE,"neutral"
"x1542862735","2022-05-26 10:11:27","buy more paninis, admin needs this https:  t.co l61uwe8xbv",0,0,0,"neutral","neutral","neutral",TRUE,"neutral"
"x1542862735","2022-05-24 19:58:40","gervais <u+0001f91d> done to death jokes #rickygervais #supernature https:  t.co sgh7jvuswm https:  t.co dafbuvphdy",0,-1,-0.15,"neutral","negative","negative",FALSE,"neutral"
"x1542862735","2022-05-24 19:19:35"," adam_dennehy then we're not taking you to mauritius <u+0001f44c>",0,0,0,"neutral","neutral","neutral",TRUE,"neutral"
"x1542862735","2022-05-24 15:59:15"," conmeister82 andrew, one day, you'll reply with a banger. then we'll hire you. for now keep up the trolling.",0,0,0.6,"neutral","neutral","positive",FALSE,"positive"
"x1542862735","2022-05-24 15:56:54"," bairey89 looks like a comedian run by ricky gervais.",2,1,0.5,"positive","positive","positive",TRUE,"positive"
"x1542862735","2022-05-24 15:56:22"," christoph_rl  nocontextbrits snigger snigger",0,0,0,"neutral","neutral","neutral",TRUE,"neutral"
"x1542862735","2022-05-24 15:55:26"," username_dizzy  rdgresident writes down*",-1,-1,-0.75,"negative","negative","negative",TRUE,"neutral"
"x1542862735","2022-05-24 15:55:08"," arrsenal1  nocontextbrits prob faster than arsenal winning the pl next.",4,2,1.35,"positive","positive","positive",TRUE,"neutral"
"x1542862735","2022-05-24 15:54:25"," tim_cattlin short hop into town",0,0,0,"neutral","neutral","neutral",TRUE,"neutral"
"x1542862735","2022-05-24 15:54:09"," aidan96207471  nocontextbrits pointy tan boots aidan. #potkettle",0,0,0,"neutral","neutral","neutral",TRUE,"neutral"
"x1542862735","2022-05-24 15:46:32"," luanalux_  askryanair i actually do cuss a little https:  t.co yoh3jeqwcu",0,-1,-1,"neutral","negative","negative",FALSE,"neutral"
"x1542862735","2022-05-24 15:42:01"," macennnnn  nocontextbrits crap reply",-3,-1,-0.75,"negative","negative","negative",TRUE,"neutral"
